Order,PO,Call #,Color,Interior Color,Handing,Options 1,Options 2,Options 3,Jamb,Misc.
1,SKYLIGHT DIRECT GLAZE ASSY,CN3236,Gun metal ,white interior,na,black perimeter bar,na,Laminated Tempered Low E3 w/Argon,na,na
AZJ01408,Eqstrian Sampl,,,,,,,,,
1,ELEVATE DOUBLE HUNG ASSEMBLY,CN2644,ebony,painted interior,na,"7/8"" SDL - With Spacer Bar - Black",Rectangular - Special Cut 2W2H,Low E2 w/Argon,"6 9/16"" Jambs",Nailing Fin
2,ELEVATE DOUBLE HUNG ASSEMBLY,CN2644,ebony,white interior,na,"7/8"" SDL - With Spacer Bar-Stainless",Rectangular - Special Cut 2W2H,Low E2 w/Argon,"4 9/16"" Jambs",Nailing Fin
AZJ00735,1780,,,,,,,,,
9,Elevate casement ,CN3771,Ebony,black pine ,right hand,"7/8"" SDL- With spacer bar blk",rectangular special cut 1W3H,Tempered low E2 w/Argon,"6 11/16"" jambs",black jamb ext
AZJ02166,R4076,,,,,,,,,
6,Elevate direct Glaze rectangle ,NA,Ebony,black pine ,NA,Black perimeter bar,NA,Tempered low E2/Argon,"4 9/16"" jambs",nailing fin dh/gl/dr frame
AZJ02363,4129,,,,,,,,,
27,ELIFD G3 6 9/16 XX ASSY,CN6080,Ebony,black pine,left hand,stainless perimeter bar,NA,Temered low E2/Argon,"6 9/16"" jambs ",nailing fin
AZJ00821,NSE Hauppauge,,,,,,,,,
1c,CUDH-NG 2.0 SCREEN,na,na,na,na,na,na,na,na,na
AZJ00296,1514,,,,,,,,,
13,ELSFD OX SCREEN,CN8080,na,na,na,na,na,na,na,na
AZJ00604,1971,,,,,,,,,
1a,ELSFD OX SCREEN,na,na,na,na,na,na,na,na,na
PROVIA,9743198,,,,,,,,,
2,white door,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZJ01689,2343AO,,,,,,,,,
1,ULT REPL CSMT SASH1,CN03684,ebony clad ,painted interior white,Right Hand,Black Perimeter Bar,na,Tempered Low E2 w/Argon,na,na
AZJ01142,2667,,,,,,,,,
1,SPD (O)XO PANEL,CN12080,ebony clad exterior,painted interior designer black,left hand,black perimeter bar,na,Tempered Low E2 w/Argon,NA,black weatherstrip
AZJ00612,1975,,,,,,,,,
29,ELIFD G3 6 9/16 X ASSY ,CN 2880,ebony exterior,designer black pine interior,right hand,black perimeter bar ,na,Tempered Low E2 w/Argon,"6 9/16"" Jambs",Nailing Fin
AZJ02033,3876,,,,,,,,, 
3,ELEVATE CASEMENT ASSEMBLY,NA,BRONZE EXTERIOR,WHITE INTERIOR,Left Hand,stainless perimeter bar,na,Low E2 w/Argon,"4 9/16"" Jambs",Nailing Fin
4,ELEVATE CASEMENT ASSEMBLY,NA,BRONZE EXTERIOR,WHITE INTERIOR,Left Hand,Stainless Perimeter Bar,NA,Low E2 w/Argon,"4 9/16"" Jambs",Nailing Fin
5,ELEVATE CASEMENT ASSEMBLY,NA,BRONZE EXTERIOR,WHITE INTERIOR,Left Hand,STAINLESS PERIMETER BAR,NA,Low E2 w/Argon,"4 9/16"" Jambs",Nailing Fin
6,ELEVATE CASEMENT ASSEMBLY,NA,BRONZE EXTERIOR,WHITE INTERIOR,right hand,STAINLESS PERIMETER BAR,NA,Low E2 w/Argon,"4 9/16"" Jambs",Nailing Fin
8,ELEVATE AWNING ASSEMBLY,NA,BRONZE EXTERIOR,WHITE INTERIOR,NA,Stainless Perimeter Bar,NA,Low E2 w/Argon,"4 9/16"" Jambs",Nailing Fin
9,ELEVATE CASEMENT ASSEMBLY,NA,BRONZE EXTERIOR,WHITE INTERIOR,LEFT HAND,Stainless Perimeter Bar,NA,Low E2 w/Argon,"4 9/16"" Jambs",Nailing Fin
,,,,,,,,,,
,,,,,,,,,,
AZJ01672,1199AO,,,,,,,,,
1,N INSERT CA ASSY,NA,stone white exterior,stone white interior,right hand,"7/8"" SDL - With Spacer Bar",Rectangular 2W2H,Low E2 w/Argon,"3 1/4"" Jambs",na
AZJ00565,1838,,,,,,,,,
